Player;Role;Team;Opponent Team;Opponent Player;Date;Week;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
DnDn;TOP;NS;FOX;Clear;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;4;Blue;00:26:55;Yone;Senna;Corki;Varus;KSante;Gnar;Loss;3;2;0;0;14;1;3;0;0.3;224;0;0;8.3;8912;331;0.215;21;15;3;8;7;0.78;0.56;0.3;0.11;0.107;8601;7081;961;559;320;0.23;0.04;0.333;0;0;0;0;0;-503;-11;-304;0;0;725;725;1401;0;29403;58;19;1784;23051;88;11;25;0;0
Sylvie;JUNGLE;NS;FOX;Raptor;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;4;Blue;00:26:55;Kalista;Tristana;Jhin;Taliyah;Nidalee;Vi;Loss;3;2;0;0;13;1;4;0;0.3;178;163;0;6.6;8475;315;0.205;54;22;11;8;8;2.01;0.82;0.3;0.41;0.276;7509;724;5151;1634;279;0.201;0.04;0.333;0;0;0;0;0;90;-2;76;0;0;2203;2203;14657;1135;16339;0;6;190;27049;159;9;24;0;0
Fisher;MID;NS;FOX;Clozer;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;4;Blue;00:26:55;Rumble;Skarner;Nidalee;Vi;Corki;Taliyah;Loss;3;2;0;0;14;0;4;2;0.5;233;0;0;8.7;8923;332;0.215;20;14;1;6;5;0.74;0.52;0.22;0.04;0.102;10685;7127;2809;749;397;0.286;0.07;0.667;0;0;0;0;0;-195;-9;-583;-1;0;785;785;2840;0;9410;0;0;30;17815;123;8;23;0;0
Jiwoo;ADCARRY;NS;FOX;Hena;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;4;Blue;00:26:55;Twisted_Fate;Renekton;KSante;Nautilus;Jhin;Varus;Loss;3;2;0;0;13;1;3;1;0.7;233;0;0;8.7;9677;360;0.234;20;12;4;5;4;0.74;0.45;0.19;0.15;0.102;7569;7020;549;0;281;0.203;0.07;0.667;1;0;0;0;0;-16;-3;-367;-1;0;4575;4575;2338;0;6269;0;13;153;12410;60;6;24;0;0
GuGer;SUPPORT;NS;FOX;Execute;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;4;Blue;00:26:55;Vayne;Leona;Rell;Gnar;Rell;Nautilus;Loss;3;2;0;0;9;0;6;2;0.3;32;0;0;1.2;5438;202;0.131;81;36;12;13;11;3.01;1.34;0.48;0.45;0.413;3000;275;2089;636;111;0.08;0.07;0.667;0;0;0;0;0;-46;-7;-53;0;0;0;0;673;80;16058;0;24;59;17040;140;15;26;0;0
Clear;TOP;FOX;NS;DnDn;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;4;Red;00:26:55;Senna;Yone;Varus;Corki;Gnar;KSante;Win;19;9;3;1;17;1;0;11;Perfect_KDA;277;19;0;10.3;12307;457;0.217;24;6;8;2;1;0.89;0.22;0.07;0.3;0.108;18738;16260;2190;288;696;0.259;0.45;0.632;0;0;0;0;0;503;11;304;0;0;10213;10213;6311;0;12061;0;24;518;12980;0;3;20;0;0
Raptor;JUNGLE;FOX;NS;Sylvie;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;4;Red;00:26:55;Tristana;Kalista;Taliyah;Jhin;Vi;Nidalee;Win;19;9;3;1;15;8;0;7;Perfect_KDA;208;192;0;7.7;11942;444;0.21;41;10;13;11;9;1.52;0.37;0.41;0.48;0.184;12223;11751;0;472;454;0.169;0.56;0.789;0;2;0;0;0;-90;2;-76;0;1;2989;2989;16223;0;30555;0;17;358;23823;0;12;29;0;0
Clozer;MID;FOX;NS;Fisher;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;4;Red;00:26:55;Skarner;Rumble;Vi;Nidalee;Taliyah;Corki;Win;19;9;3;1;17;6;0;8;Perfect_KDA;300;4;0;11.1;13666;508;0.241;38;14;11;6;6;1.41;0.52;0.22;0.41;0.17;22138;1327;20626;185;822;0.306;0.52;0.737;0;1;0;0;0;195;9;583;1;0;3953;3953;1835;0;6485;0;34;566;10265;0;9;27;0;0
Hena;ADCARRY;FOX;NS;Jiwoo;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;4;Red;00:26:55;Renekton;Twisted_Fate;Nautilus;KSante;Varus;Jhin;Win;19;9;3;1;15;4;1;8;12;257;0;0;9.5;11949;444;0.21;41;23;8;4;4;1.52;0.85;0.15;0.3;0.184;15520;12023;3207;290;577;0.215;0.45;0.632;1;1;0;0;0;16;3;367;1;0;6474;6474;2239;0;4189;0;19;256;9091;10;5;23;0;0
Execute;SUPPORT;FOX;NS;GuGer;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;4;Red;00:26:55;Leona;Vayne;Gnar;Rell;Nautilus;Rell;Win;19;9;3;1;12;0;2;13;6.5;44;0;0;1.6;6957;258;0.122;79;44;8;11;11;2.93;1.63;0.41;0.3;0.354;3669;580;2443;646;136;0.051;0.48;0.684;0;0;0;0;0;46;7;53;0;0;354;354;541;0;11028;0;21;129;12333;35;13;26;0;0
Clear;TOP;FOX;NS;DnDn;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;5;Blue;00:32:01;Senna;Skarner;Maokai;Varus;Twisted_Fate;Renekton;Loss;11;4;2;1;17;0;4;6;1.5;281;5;0;8.8;12785;399;0.218;29;13;8;4;4;0.91;0.41;0.12;0.25;0.105;17264;8602;7854;808;539;0.211;0.19;0.545;0;0;0;0;0;544;2;-694;0;0;1256;1256;5825;0;12573;0;34;226;19964;140;5;18;0;0
Raptor;JUNGLE;FOX;NS;Sylvie;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;5;Blue;00:32:01;Nidalee;Rumble;Yone;Tristana;Maokai;Brand;Loss;11;4;2;1;15;2;4;6;2;201;162;0;6.3;11178;349;0.191;53;9;23;9;8;1.66;0.28;0.28;0.72;0.193;20832;905;17364;2563;651;0.255;0.25;0.727;0;0;0;0;0;-263;-1;-382;0;0;458;458;19967;0;31437;349;39;558;34356;94;10;24;50;0
Clozer;MID;FOX;NS;Fisher;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;5;Blue;00:32:01;Ashe;Kalista;Leona;Alistar;Yone;Tristana;Loss;11;4;2;1;18;2;2;3;2.5;336;19;0;10.5;13287;415;0.227;44;14;12;5;5;1.37;0.44;0.16;0.37;0.16;21164;14653;3988;2523;661;0.259;0.16;0.455;0;0;0;0;0;-37;-8;147;0;0;529;529;10163;0;29473;0;16;198;25227;58;8;24;50;450
Hena;ADCARRY;FOX;NS;Jiwoo;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;5;Blue;00:32:01;Lillia;Ziggs;Twisted_Fate;Brand;Kaisa;Varus;Loss;11;4;2;1;16;6;3;4;3.3;296;15;0;9.2;13607;425;0.232;30;15;12;3;3;0.94;0.47;0.09;0.37;0.109;17443;6370;10915;158;545;0.213;0.31;0.909;0;0;0;0;0;164;-20;-577;0;0;1243;1243;3670;0;8297;0;1;57;15997;99;4;24;100;250
Execute;SUPPORT;FOX;NS;GuGer;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;5;Blue;00:32:01;Jax;Jhin;Kaisa;Renekton;Leona;Alistar;Loss;11;4;2;1;13;1;2;8;4.5;43;0;0;1.3;7765;243;0.132;119;72;24;25;24;3.72;2.25;0.78;0.75;0.433;5039;894;3713;432;157;0.062;0.28;0.818;0;0;0;0;0;-112;-4;-38;0;0;0;0;1991;178;11397;0;22;60;14036;53;27;42;0;0
DnDn;TOP;NS;FOX;Clear;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;5;Red;00:32:01;Skarner;Senna;Varus;Maokai;Renekton;Twisted_Fate;Win;15;9;3;1;18;3;2;4;3.5;286;4;0;8.9;12750;398;0.201;49;20;5;12;10;1.53;0.62;0.37;0.16;0.146;10268;8515;1753;0;321;0.132;0.22;0.467;0;0;0;0;0;-544;-2;694;0;0;926;926;8402;0;33712;0;14;237;29892;104;14;35;250;50
Sylvie;JUNGLE;NS;FOX;Raptor;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;5;Red;00:32:01;Rumble;Nidalee;Tristana;Yone;Brand;Maokai;Win;15;9;3;1;15;3;5;7;2;209;189;0;6.5;11605;362;0.183;94;38;19;12;10;2.94;1.19;0.37;0.59;0.28;21158;762;18357;2039;661;0.272;0.31;0.667;0;0;0;0;0;263;1;382;0;0;481;481;14455;0;16289;0;25;544;33894;223;13;29;0;100
Fisher;MID;NS;FOX;Clozer;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;5;Red;00:32:01;Kalista;Ashe;Alistar;Leona;Tristana;Yone;Win;15;9;3;1;18;8;1;4;12;327;20;0;10.2;17177;537;0.271;36;15;7;6;6;1.12;0.47;0.19;0.22;0.107;23856;21779;2077;0;745;0.306;0.37;0.8;0;0;1;0;0;37;8;-147;0;0;14241;14241;9001;0;11260;0;2;98;19957;32;9;27;450;50
